SAP_ID,LATITUDE,LONGITUDE
I-DL-DLHI-ENB-1574,28.66333056,77.27393611
I-DL-DLHI-ENB-9396,28.6635,77.27664167
I-DL-DLHI-ENB-9781,28.66374,77.26779
I-DL-DLHI-ENB-3281,28.66382222,77.26316944
I-DL-DLHI-ENB-1537,28.66461944,77.28063889
I-DL-DLHI-ENB-5900,28.66484444,77.26963611
I-DL-DLHI-ENB-9398,28.66501111,77.26046111
I-DL-DLHI-ENB-8864,28.66510278,77.2586
I-DL-DLHI-ENB-1542,28.66514444,77.26779833
I-DL-DLHI-ENB-1855,28.66526667,77.29569722
I-DL-DLHI-ENB-1541,28.66571667,77.26315
I-DL-DLHI-ENB-3660,28.66589444,77.30064806
I-DL-DLHI-ENB-8771,28.66595556,77.25770833
I-DL-DLHI-ENB-3419,28.666325,77.30555
I-DL-DLHI-ENB-1529,28.66645556,77.29771667
I-DL-DLHI-ENB-1573,28.6667675,77.28388722
I-DL-DLHI-ENB-6571,28.66694361,77.31558056
I-DL-DLHI-ENB-5940,28.66694556,77.27512222
I-DL-DLHI-ENB-1364,28.66777167,77.26154167
I-DL-DLHI-ENB-6986,28.66786889,77.32111944
I-DL-DLHI-ENB-6958,28.6679025,77.29613056
I-DL-NOID-ENB-0069,28.66842889,77.25568333
I-DL-DLHI-ENB-1316,28.66865694,77.24883889
I-DL-DLHI-ENB-8772,28.66889,77.26754444
I-DL-DLHI-ENB-1549,28.6691975,77.30648056
I-DL-DLHI-ENB-1400,28.66930361,77.27595
I-DL-DLHI-ENB-6511,28.66998889,77.311925
I-DL-DLHI-ENB-6547,28.67015,77.28128333
I-DL-DLHI-ENB-6988,28.67054444,77.2579
I-DL-DLHI-ENB-4415,28.67059167,77.26625
I-DL-DLHI-ENB-8863,28.67089,77.29413
I-DL-DLHI-ENB-8779,28.67096944,77.26466667
I-DL-DLHI-ENB-3275,28.67103056,77.25433889
I-DL-DLHI-ENB-3664,28.67116944,77.29763611
I-DL-DLHI-ENB-9411,28.671199,77.278958
I-DL-DLHI-ENB-3666,28.67185,77.293525
I-DL-DLHI-ENB-6983,28.67190833,77.287975
I-DL-DLHI-ENB-1361,28.67203889,77.30117889
I-DL-DLHI-ENB-9799,28.673525,77.30653611
I-DL-DLHI-ENB-1395,28.67375833,77.32048889
I-DL-DLHI-ENB-9797,28.67378333,77.30159944
I-DL-DLHI-ENB-1360,28.67393056,77.28907222
I-DL-DLHI-ENB-8190,28.67412,77.28758
I-DL-DLHI-ENB-6580,28.67422222,77.2729
I-DL-DLHI-ENB-3667,28.67449167,77.30838611
I-DL-DLHI-ENB-9802,28.67482222,77.29563889
I-DL-DLHI-ENB-6569,28.67525278,77.31686833
I-DL-DLHI-ENB-4101,28.67535,77.28955
I-DL-DLHI-ENB-2520,28.67551111,77.26882694
I-DL-DLHI-ENB-4089,28.67553889,77.30947222
I-DL-DLHI-ENB-1376,28.67558889,77.28326389
I-DL-DLHI-ENB-6583,28.67592778,77.28675556
